trial,kind,group,status,physical_execution,actual_tabletop_route,lift_success,flip_success,last_scored_gait,last_scored_gait_pass,last_passed_gait,g1_original_plan_gate_passed,observed_thumb_free_stable_hold,observed_thumb_free_supports,final_gait_world_translation_mm,final_gait_world_rotation_rad,final_gait_contacts_thumb_index_middle_ring_pinky,first_world_instability_s,first_low_after_lift_s,entered_policy,operation_steps,policy_action_mode,unchanged_policy_actions,static_hold_scored_seconds,static_hold_fixed_world_stable,static_hold_world_drift_mm,static_hold_world_rotation_rad,basic_10mm,strict_2mm,operation_fixed_world_stable,slider_travel_mm,endpoint_max_errors_mm,operation_drop,operation_world_drift_mm,operation_world_rotation_rad,operation_hand_drift_mm,operation_hand_rotation_rad,required_operation_success,endpoint_and_retention_cycles,continuous_whole_success,abort_phase,abort_reason,raw_failure_class,caution
R1-01-ring-interior-support,development,B,ended,True,True,,True,ring_under_body,False,ring_corner_clearance,False,False,[],5.54285657168226,0.2580504628988611,"[1.0, 0.3, 0.43333333333333335, 0.7833333333333333, 1.0]",39.666668735444546,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,gait_ring_under_body,Gait fixed-reference stability failed: ring_under_body,ValueError,No policy evaluation; not a teacher/student failure
R1-02a-middle-interior-slide,development,B,ended,True,True,True,True,middle_slide_hold_1,True,middle_slide_hold_1,False,False,[],1.5844605837293002,0.038359625580780925,"[1.0, 0.0, 1.0, 1.0, 1.0]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,,,operation_not_requested,No policy evaluation; not a teacher/student failure
R1-03-original-support-thumb-clear12,development,B,ended,True,True,,True,thumb_unload_thumb,False,thumb_baseline_hold,False,False,[],55.73630979763265,2.8184820344997723,"[0.6, 0.8333333333333334, 0.6333333333333333, 0.6333333333333333, 0.5333333333333333]",34.63333513960242,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,gait_thumb_unload_thumb,Gait fixed-reference stability failed: thumb_unload_thumb,ValueError,No policy evaluation; not a teacher/student failure
R1-04-middle-forward-clearance,development,B,ended,True,True,True,True,middle_establish_interior_hold,True,middle_establish_interior_hold,False,False,[],4.338720348142299,0.1302923244482898,"[1.0, 0.0, 1.0, 1.0, 1.0]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,,,operation_not_requested,No policy evaluation; not a teacher/student failure
R1-05-candidate1-four-digit-acquisition,development,B,ended,True,True,True,True,new_acquisition_hold,True,new_acquisition_hold,False,False,[],0.45422715916601664,0.003020697116204274,"[1.0, 0.0, 1.0, 1.0, 0.0]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,,,operation_not_requested,No policy evaluation; not a teacher/student failure
R1-06-left-middle-ring-unload,development,B,ended,True,True,True,True,ring_unloaded_hold,True,ring_unloaded_hold,False,False,[],5.185873321451658,0.12101525071689721,"[1.0, 0.0, 1.0, 0.0, 1.0]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,,,operation_not_requested,No policy evaluation; not a teacher/student failure
R1-07-candidate1-index-bottom,development,B,ended,True,True,True,True,index_bottom_establish_hold,True,index_bottom_establish_hold,False,False,[],0.6067356158599346,0.004791726493156972,"[1.0, 1.0, 1.0, 1.0, 0.0]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,,,operation_not_requested,No policy evaluation; not a teacher/student failure
R1-08-left-middle-assembly-roll30,development,B,ended,True,True,True,True,middle_establish_interior_hold,True,middle_establish_interior_hold,False,False,[],4.338720348142299,0.1302923244482898,"[1.0, 0.0, 1.0, 1.0, 1.0]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,,,operation_not_requested,No policy evaluation; not a teacher/student failure
R1-09-roll30-thumb-release,development,B,ended,True,True,,True,unload_thumb,False,baseline_hold,False,False,[],1.6512824082533133,0.25558902996646615,"[0.6, 0.0, 1.0, 1.0, 0.3]",48.700002539902925,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,gait_unload_thumb,Gait fixed-reference stability failed: unload_thumb,ValueError,No policy evaluation; not a teacher/student failure
R1-10-roll30-fixed-goal-alignment,development,B,ended,True,True,True,True,unloaded_hold,True,unloaded_hold,True,True,"[[""middle"", ""ring""]]",1.8714435605500737,0.22955022434397626,"[0.0, 0.0, 1.0, 1.0, 0.0]",,,False,0,not_executed,,,,,,,,,,,,,,,,,,False,,,lost_after_lift,No policy evaluation; not a teacher/student failure
